pos:2975 neg:4313
情缘	235	39366	446	17919	5015	0.451698841	7.02858996392374	6.45830838760291	1
重庆时时彩平台	63	139	42	12	37	0.086443709	0.500402423538188	0	1
足球篮球滚球体彩	340	NULL	143	2	NULL	0.014807537	0	0	1
执业医师	353	1106	919	606	848	0.037264181	4.66827094629231	3.99630977919417	0
巴厘岛	2413	1046	1623	300	353	NULL	5.19404135075557	3.95007863446956	0
股票指导	310	523	610	177	356	0.007520325	4.16306234728815	4.58437820651497	0
85后	1719	687	997	210	277	NULL	4.78100204631525	4.29408737233629	0
早盘股盘股	103	NULL	NULL	NULL	NULL	0.12840959	NULL	NULL	1
独家	74	14661	212	11108	8948	0.123762003	4.37792210076406	2.17057250379696	1
德语	220	2471	286	475	664	0.050152648	5.49355570940651	4.38036318474193	0
设计装修建筑工程	92	103	73	3	166	0.009938148	1.09861228866811	1.09861228866811	1
健康减肥	489	2451	399	573	705	NULL	4.84291796742107	4.37893600026099	0
乔布斯传	738	3	340	NULL	NULL	NULL	NULL	NULL	1
塔罗	2207	1159	1067	388	459	NULL	5.53209018345975	3.73947152661199	0
会计职称	1432	740	1838	516	685	NULL	4.79094800394155	3.94379740493137	0
go_购	97	NULL	12	NULL	NULL	0.347302428	NULL	NULL	1
佛山	699	20684	2066	17077	11920	NULL	7.15147760819463	7.01562028240714	0
凤凰平台开户	73	125	23	1	24	0.01504036	0	0	1
翼虎	328	661	300	388	431	0.041691125	4.74424392453111	3.99804224020931	0
开增值	209	211	46	41	95	0.051948917	2.32235062011111	2.68594532466979	0
秘书部	172	9343	6	347	129	0.164567484	5.32285722018084	4.26868431427794	1
时间短	71	446	36	2	201	0.394643359	1.79175946922805	1.09861228866811	1
京东好评返现	59	61	1	NULL	1	0.061241211	NULL	NULL	1
育儿护理	50	9	4	1	9	0.025900756	1.09861228866811	0.693147180559945	1
天猫赔钱特价	61	59	2	2	2	0.014967734	1.38629436111989	0	1
考研资料	1045	3695	2553	1112	4684	NULL	4.85485856481243	5.06485536873224	0
互联网创业加盟	60	3	12	2	7	0.052563181	0.693147180559945	0	1
白领	13705	8016	12638	1222	2436	NULL	5.92776052880545	5.58132979004326	1
金刚菩提	324	337	430	163	228	0.021742171	3.93647309867732	3.29343487198668	0
深圳信用卡套现	159	27	10	6	7	0.004269807	1.33217904021012	0	1
重庆时时彩网赚	153	113	6	7	23	0.015496383	1.00271826451752	0	1
st股	71	21	17	4	12	0.1083983	1.05492016798614	0	1
知音漫客	236	416	589	210	253	0.421415198	4.90682331778072	3.3561195780459	0
淘宝代刷信誉	83	96	21	22	50	0.037331614	2.67795000336388	1.79175946922805	1
麻将外挂辅助	175	115	4	6	3	0.080419057	1.38629436111989	0	1
票据	69	1465	121	641	691	0.030206498	5.43067352880952	4.59770276342208	1
奥迪q3	507	187	82	150	131	NULL	4.35227857770412	3.77209554170342	0
奥迪q2	105	11	7	5	9	0.012965826	2.13833305950803	1.6094379124341	1
对戏	188	969	323	91	843	0.164567484	4.95476877198647	3.45393740733992	0
奥迪q7	420	117	48	47	41	NULL	3.75830295229033	2.90994857385409	0
小兵	180	3255	120	470	338	0.169508863	5.75227824565428	4.80659935957018	0
奥迪q8	103	2	5	NULL	3	0.012965826	NULL	NULL	1
早教资料免费下载	108	685	NULL	1	1	0.046853309	0	0	1
天蝎座	5892	1620	2179	375	615	NULL	5.42801394238326	3.87006817890419	0
考试答案	50	1185	24	144	190	0.130787373	3.9004571431342	2.98957330928626	1
抗痘	1637	59	843	4	13	NULL	1.38629436111989	0.693147180559945	1
保健按摩	323	3569	32	48	60	0.125266084	4.33030340931208	3.57938896373468	0
产权	3388	1946	5267	1279	1518	NULL	4.61529522915303	3.77735494650228	0
手帐	204	956	578	665	698	0.164567484	5.62652317493245	4.95316361893989	0
土建	385	6963	1532	2534	2825	0.027847687	6.20346813078038	5.50607693338972	0
畜牧学	54	85	3	5	4	0.020007617	2.56494935746154	1.79175946922805	1
恒大净月公馆	53	3	24	3	NULL	0.076413998	0.693147180559945	0	1
狮子座	5752	1942	1968	438	663	NULL	5.47742652852349	4.33301523841325	0
代办银行卡3	72	NULL	NULL	NULL	NULL	0.037433361	NULL	NULL	1
代办银行卡2	78	NULL	NULL	NULL	NULL	0.030603626	NULL	NULL	1
代办银行卡1	75	2	NULL	NULL	NULL	0.025945813	NULL	NULL	1
