tag	oldtag2count	oldexttag2count	newtag2cout	newtitleexttag2count	newdescexttag2count	classifer	entropy	entropyv2
足彩交流	197	575	328	217	119	0.065662252	3.583717974265	3.77305499485487
众泰汽车	197	329	101	106	110	0.030309787	3.90139702616793	3.88892957029835
面点	197	1590	759	1779	1449	0.027175851	5.3510987887749	4.86003571720759
宋茜	197	911	294	395	409	0.164567484	5.01713913533256	3.21063220393805
皮肤病	197	1060	329	464	738	0.060682477	4.92533629840582	4.51621803570157
小说群	196	6791	544	5292	3190	0.115031064	7.13280421091054	5.51211795771139
剩男剩女	196	1415	696	323	511	0.025655424	4.82661416812784	4.12975005730036
显卡	196	1315	842	530	2010	0.052792764	5.37251528162129	4.57414765234086
泰州	196	8244	495	4866	3354	0.051827372	6.99420598532928	6.90235481691482
手赚	196	711	558	633	445	0.164567484	4.92140802709462	4.37236347006867
家装设计	196	584	464	297	525	0.007175594	4.71556698138589	4.54115443505737
减脂	196	958	477	270	568	0.158436247	4.49983550176416	3.35527487527493
回收	196	14303	561	9762	17077	0.073148525	7.00183181922385	6.15541430400987
暗黑	196	9816	534	3256	1627	0.061577188	6.6198773931549	5.60166319134386
拉卡拉	196	1369	406	395	511	0.060388578	4.94859426375575	4.14679579323558
滴滴打车	196	853	712	769	626	0.376421781	5.28957547774064	5.1725249650217
学姐	196	8901	360	775	5029	0.673076659	5.79123223426371	4.92583042344961
京东运营	196	545	762	640	470	0.024712965	3.83733707477543	3.69843317490189
微商交流群	196	2657	193	1284	2001	0.301237097	5.74511642618929	4.87584528969299
弱电工程	196	850	972	1124	1022	0.043405447	4.89741447634635	4.76256461752457
代打	196	7587	510	2059	4780	0.212800304	5.47740656689764	3.94738375514542
合乐芳芳	196	NULL	8	NULL	NULL	0.129207219	NULL	NULL
黑马涨停	196	915	397	501	611	0.01037337	4.91832883863754	4.80831397117703
风险控制	196	420	210	21	228	0.069477588	3.64023735780925	2.61563057702755
真爱粉	196	4401	633	1495	6377	0.161668329	5.94643307811303	4.93645860417798
攻击服务器	196	70	311	85	92	0.14188258	1.33217904021012	0
银川	196	7278	514	5510	3213	0.074735556	6.92551392275342	6.71996941580259
办公室装修预览	196	NULL	17	NULL	NULL	0.102760631	NULL	NULL
玩客云	196	469	746	526	603	0.164567484	4.68198221832654	4.01549094336702
高血压	196	898	400	430	793	0.046829463	4.84210787554457	3.75902214413207
酒吧聚会	196	582	266	479	403	0.530859498	4.59247581121449	4.3446326448338
梦幻西游2	196	731	476	210	173	0.83693877	4.94551046882901	3.72422706534229
罪恶王冠	196	362	580	198	142	0.045931034	4.8005104084568	3.4752047713416
一手房	196	613	303	134	363	0.011818237	4.66429296309622	4.13378417700828
终结者2	196	1708	610	800	614	0.462943349	4.91461554773327	3.82314473061472
平面模特	196	523	849	166	963	0.019316751	4.41423883027518	4.09572476201413
杀手	196	14900	160	1956	1096	0.156675284	6.57938126393867	5.40838973446488
pྉkྉ	199	151	140	94	79	NULL	2.06140878000546	0
利荣资本	196	126	45	21	9	0.048631056	1.09861228866811	0
君临天下	196	8604	362	3573	1490	0.083660696	6.56186935187883	5.75450633397572
网咖	195	4336	459	2223	1182	0.355593783	6.61118270657292	5.73220641973101
林肯mkc	195	7	16	9	4	0.154063715	2.92520276417111	2.484906649788
管理苏芩	195	NULL	NULL	NULL	NULL	0.235055716	NULL	NULL
找苏芩领	195	NULL	NULL	NULL	NULL	0.321173949	NULL	NULL
购物券	195	935	315	440	678	0.007259209	4.76087679709868	3.70863801540287
qq密码找回	195	40	10	1	1	0.184413735	0	0
p图	283	1907	758	802	1435	0.163321715	5.50148273979722	4.68353247218018
pve	264	1153	679	793	1441	0.383173894	5.9101931663652	4.66590345095122
美白针	195	164	165	37	118	0.164567484	3.55968567910027	2.47787310931256
瑞虎5	195	220	180	187	208	0.445956406	4.48703129314737	3.95564013234071
清远	195	7340	345	3489	2645	0.034558558	6.83630390002291	6.71647083948723
提现	195	3657	266	684	3356	0.112284492	5.59662180570722	4.56079524842076
ceo	216	5097	266	3614	803	0.07056069	3.79401625089855	5.93721677704415
绿松石	195	334	414	379	485	0.029521339	4.37807912861845	3.81123871604522
丰田车友会	195	351	35	147	35	0.024920109	4.91333256774692	4.4092370471066
海运	195	3452	816	1639	1920	0.04786983	5.74367452341709	4.67780829976326
李晨	195	2403	309	261	451	0.078011167	4.50663691882667	2.75180625659487
宫寒	195	302	126	77	170	0.412600463	3.44888310479219	1.90453704479662
中药材	195	1340	568	1857	2045	0.020635555	5.10267853595287	4.51334789811227
猎豹	195	4115	87	714	476	0.029264141	6.09027336665877	5.26696604570797
手机短信拦截马	195	24	40	5	5	0.056679775	0	0
polo	235	788	232	398	587	0.069676864	5.22666040927397	4.39833203557232
北京赛车计划群	195	216	131	41	14	0.060616831	2.63934058723243	0
nba交流	197	453	37	356	164	0.20716285	2.71836531400332	1.8348927060172
高仿	195	2373	323	733	1238	0.019939998	5.60455499665157	4.76513277301537
天猫折扣秒杀优惠	195	40	45	12	9	0.017918757	0.687092027379972	0
命理	195	1298	653	1227	1476	0.030119033	5.064040597009	3.6223285964205
礼物	195	12097	332	1289	5943	0.213863523	5.76232055219728	5.37576269909785
熊孩子	195	8145	168	1321	1147	0.164567484	5.62598746023011	4.67806130642096
咨询交流	195	3909	247	1633	2592	0.228837344	6.11372273177902	6.40286831380507
林肯mkz	194	9	14	12	1	0.154063715	2.84146003783755	2.33837170480357
海外代购	194	900	311	248	264	0.044639645	4.9775891947996	4.44095073613512
神器	194	6290	426	2883	4569	0.058260716	6.50540094740029	5.86542515873336
开心消消乐	194	9208	379	832	491	0.380644644	4.22199103888552	3.53024651593276
高清电影	194	662	344	326	434	0.036374448	4.21911771535526	4.02399117571765
项目交流	194	8225	502	4671	2153	0.155276055	5.91378794199919	6.23855186385245
政斗	194	168	347	30	61	0.300645415	4.02456744274043	2.11488263045432
传祺	194	629	184	268	332	0.19757126	4.99137233118486	4.4873588690982
长城	194	11904	504	3647	3186	0.033314059	6.64255092463262	5.79998984179818
微信赚钱	194	358	386	373	247	0.117662503	4.43217598773535	3.5477179970184
炒股票	194	1101	572	546	2266	0.019967509	4.90117484855638	4.62152873337144
微信软件	194	155	189	75	117	0.05027659	3.90933152715871	3.31117859132101
基督	194	1967	444	717	896	0.235635027	5.63239038963444	4.42424520622051
夜天堂	194	87	262	13	2	0.307144078	2.6608564252631	1.6094379124341
思考	194	7485	222	398	2991	0.195945658	5.63545973050279	4.62678255810713
南开大学	194	1786	192	405	612	0.117218768	4.6092834446838	3.51139286103809
隆鼻整形	194	621	30	49	92	0.014890241	3.26515411915051	3.32958423429565
巴萨	194	1559	445	493	696	0.108262768	5.21702919757592	3.62500468473633
热巴	194	10457	551	7167	10718	0.118651783	5.3330591581595	3.59801770064185
影视会员	194	1745	554	1525	1473	0.062697928	5.13848360949012	4.13736834215141
流行音乐	194	1173	529	512	641	0.027289872	4.95495994543012	4.56846331934901
消防工程	194	1011	718	1073	1273	0.052911788	4.89722056918724	4.78119561926989
进项票	194	62	75	16	186	0.097507588	0.693147180559945	0
平花	194	364	514	34	329	0.016067375	3.57176127535045	2.31823547849209
商业交流	194	2351	497	1656	1647	0.063313171	5.57047119031827	6.07063273944433
黑马推荐	194	215	353	40	69	0.023077986	3.4608947087697	3.40610935361284
真钱游戏	194	35	5	3	2	0.004347389	0	0
中西医助理医师	194	2	55	4	8	0.017372664	1.03972077083992	0
北ت京تpتk	194	58	8	NULL	4	NULL	NULL	NULL
有声小说	193	288	602	283	418	0.032214842	4.98210796524726	4.24065561722739
林肯mkx	193	9	12	5	6	0.154063715	2.39331212297452	1.79175946922805
郑秀晶	193	440	289	193	239	0.164567484	4.63927565679477	2.8670122491329
淘宝数据	193	230	101	44	51	0.062168545	3.17955679125466	1.66746193342929
母校	193	8558	78	437	1044	0.711031314	5.48971268353984	4.11635237830673
办公用品票	193	317	5	25	37	0.035317009	2.25522693637043	2.07710157488621
百度网盘	193	575	376	312	429	0.064922651	3.93904939140441	3.50274362853798
幻想乡	193	1718	671	2173	877	0.164567484	6.03774550080456	5.17019743074091
纯股民	193	2096	490	241	1402	0.106106239	3.56554040458188	4.45873928487221
御龙在天手游	193	433	256	99	164	0.320250406	3.98691369403091	2.78362418576025
淘宝刷单7	193	88	29	1	NULL	0.049342354	0	0
传祺gs4	194	200	122	291	157	0.395404543	4.65894271278972	4.09149119195753
将军	193	10826	193	1700	1426	0.285722499	6.474913481402	5.80602800796593
打字员赚钱找工作	193	196	31	30	31	0.222312066	0	0
怎么开网店	193	255	69	18	102	0.807356388	2.40615957539782	1.47507631105469
作业交流	193	8707	133	1594	584	0.166230786	4.21596279264446	4.67443767663179
选调生	193	1636	777	571	1031	0.122149078	4.47235614277384	4.23901194169974
会计从业资格证	193	602	326	83	474	0.013349698	3.67536075821806	2.92402004014064
隐私	193	5909	117	302	2598	0.487955748	4.97090855084225	4.01596947105817
学习流	193	51	1	2	4	0.17020119	2.16395565688206	1.38629436111989
李敏镐	193	1143	331	557	485	0.164567484	5.00713861445795	3.51566613523711
lol英雄联盟	244	3427	515	2295	834	0.106934829	5.46157768565883	4.96585893370291
同桌	193	6601	58	327	375	0.774991458	5.39845023542453	4.09224512445063
研发	193	23218	385	3611	11726	0.0387692	6.77865108651173	6.09263873891712
营销广告	193	573	637	659	658	0.026338904	4.56621128439286	5.06660927091789
光大信用卡代办	193	2	NULL	NULL	NULL	0.011890388	NULL	NULL
档口门店装潢	193	NULL	12	NULL	NULL	0.012996726	NULL	NULL
大梦小雯	193	287	70	32	361	0.257563309	0	0
红包扫雷	193	566	73	104	57	0.024123333	4.04888152659963	2.40056312640875
软装	193	1655	596	765	1025	0.006163603	5.30184549375117	4.71116847706171
好伙伴	193	4299	56	276	821	0.830898352	4.6427255391077	3.98866534041324
微信接龙	193	140	32	60	49	0.128853333	2.61532806804607	2.04673853269455
赚钱	193	192	121	163	439	0.055857759	2.75507353283235	1.60520710745546
痛经	192	827	261	141	390	0.065454338	4.31774954620139	2.97038107507646
战友群	192	12000	88	3140	671	0.903052847	6.98994161885259	5.17881645615179
证监会	192	858	440	29	886	0.049075311	3.62077173183958	2.60992061689951
怀化	192	6588	424	3701	2483	0.039174433	6.67065009645348	6.63679512910686
手机兼职群	192	856	110	505	210	0.05600739	4.21053102233331	3.90465350529475
整形整容	192	532	59	122	194	0.023728517	3.23164611714863	3.94815708026098
星月菩提	192	349	415	184	276	0.092332914	3.89667056848907	3.18604269535397
女学生	192	1414	173	276	500	0.51666626	4.69317766245932	4.32862167159294
汪星人	192	1225	433	335	215	0.164567484	5.12029558589805	3.93758338427487
螺纹钢	192	466	585	710	1621	0.009997957	5.00149459740494	3.82566298620167
通州	192	7147	456	2252	1218	0.065973179	6.40044539825226	5.59610091209273
中小学	192	11249	317	2912	3456	0.137766104	6.49815425613623	5.5383183207564
迈腾	192	996	324	832	828	0.0245681	5.18598177241275	4.43096615160096
青海	192	12774	439	6915	4147	0.023244522	7.09370783961592	6.82492827145726
退伍军人	192	1587	352	700	1093	0.083684491	5.51833115546255	5.50544036412303
众泰sr9	193	44	29	13	11	0.395404543	2.63003334607184	2.06364957047885
老兵	192	6112	246	2077	1532	0.240601023	6.49486454540481	5.70956661452812
品质	192	17596	277	1738	11379	0.140363617	6.6604236618474	6.2754340300989
解套高手	192	282	144	13	255	0.033593415	2.74001066838884	2.83094043025377
海报	192	3614	442	300	1508	0.069673582	5.62585393711983	4.98314904046324
道具	192	5741	526	1510	3815	0.124760706	6.3987940828963	5.59084930848246
随聊	192	3073	234	619	593	0.687426335	5.43286632135265	4.5368151640663
萨摩	192	550	856	296	519	0.104880932	4.75993870315758	4.16051610715862
笛子	192	1007	514	536	786	0.021810853	5.22837422859941	4.60364962983876
剧情	192	5402	410	976	4654	0.162492858	5.89283831151565	5.03272607395879
全民奇迹	192	1476	450	647	348	0.070258197	4.94244603772084	3.81221665737184
双颖	191	3187	244	1771	866	0.199839949	5.07611366547324	3.22693980981952
江湖产品	191	57	1237	64	70	0.019664848	3.71332731958814	2.67547188219292
恋舞	191	2369	265	794	483	0.19757126	5.4632326447353	4.64999998480545
跳蚤市场	191	1504	491	1597	630	0.060821906	6.46575166346502	5.56173033569594
灰指甲	191	642	189	286	417	0.053492482	4.46951597004113	3.03845005697613
塔防	191	1823	511	688	865	0.087577729	5.21624489049867	3.64056351015257
黑眼圈	191	1077	265	89	520	0.060613775	4.30510620925029	2.74113348834171
新朋友	191	10494	172	235	12145	0.906347829	4.61010665213186	3.31941930195209
不说脏话	191	14684	131	17	14513	0.216873637	3.54716307621972	1.94591014905531
富二代	191	3244	255	333	390	0.009532718	4.94737091383779	4.58627880269534
保时捷车友会	191	418	69	99	64	0.015381207	4.00635807395251	4.16754187870883
芒果	191	9185	469	2305	1855	0.073712998	6.49582331483556	5.6504118941081
公积金提取	191	433	348	373	282	0.065974041	4.70366150076945	4.50692584127186
途锐	191	188	72	162	198	0.047071474	4.26800979315817	3.19696879906864
避孕套	191	802	142	219	218	0.084073062	4.78378494714787	3.01790243735351
纺织	191	10818	733	4013	3443	0.01922398	6.08805125993647	5.31261714842084
主席	191	8493	84	453	765	0.47333306	5.87893227629282	4.74669493722718
长安车友会	191	342	56	190	130	0.096762036	4.64043728353626	4.13230146668344
广州兼职	191	722	558	900	505	0.025736788	4.68335634208186	4.00149009477734
民族舞	191	1210	247	139	370	0.046403583	5.06315295268996	3.77552077709212
顺德	191	6459	494	3628	1905	0.032648432	6.56184247243165	6.33173315936109
水族	191	2797	615	1595	1422	0.101131654	6.15689662872719	5.68019537126453
包头	191	7385	447	4597	2859	0.04450298	7.05771188423937	6.94726379351333
运营交流	191	2320	469	1953	985	0.108135139	5.20409583362868	5.0829616699077
天猫购物券秒杀	191	56	32	27	8	0.02171375	0.563419611513634	0
实名支付宝	191	194	114	57	148	0.019912878	3.22849656318355	2.01181990306354
cf穿越火线	269	4643	595	1851	980	0.405905526	5.12148830459069	4.73677723358268
手机短信内容查询	190	42	NULL	1	1	0.08036694	0	0
有偿直播	190	NULL	257	NULL	3	0.23379989	NULL	NULL
时时彩人工计划	190	1459	54	17	39	0.047019321	1.77874751338237	1.09861228866811
评论	190	8030	521	1912	7239	0.088804202	5.91163388212926	4.93908136556827
疯疯癫癫	190	10238	86	1260	656	0.661486164	5.41121617296383	3.75848851353351
淘宝扣分解除	190	18	NULL	NULL	NULL	0.042649607	NULL	NULL
南红	190	490	536	233	442	0.170596589	4.56059526794505	3.85959967034152
传销	190	6530	369	1304	3317	0.043328916	5.992676241953	5.31356224608589
车友交流	190	14940	543	3170	5646	0.410977846	5.58493268136932	6.19415154444104
医学生	190	821	248	313	414	0.082870228	4.84666005729279	4.78430979575948
招聘兼职	190	2448	331	1259	2321	0.049560356	5.67644126370984	5.58795750825012
如何赚钱	190	474	34	47	199	0.400394018	3.09963214224084	2.19722457733622
国产电影	190	120	62	67	47	0.018034909	3.71740528017562	2.59930192709979
动物园	190	11055	172	2813	551	0.061827239	6.8021367952568	5.84928346059598
百度百科	190	528	418	317	591	0.137490622	4.4101175617546	3.85764831722649
农场	190	14395	466	4925	3709	0.14357715	6.58567900771166	5.82287192330715
人才市场	190	3216	709	1869	2093	0.027479141	6.45320302426353	5.69297456620135
工具	190	12780	520	2442	8544	0.347073087	6.66622238739994	6.07361381348262
小儿癫痫	190	34	74	24	9	0.027012541	3.33368584951907	2.47622064959816
项目合作	190	1330	727	463	1565	0.326293206	5.22498383759925	5.02212265470957
育婴	190	1668	347	580	747	0.096382899	5.4184684049651	4.556088778646
怪盗基德	190	1412	375	260	218	0.082119091	4.58335998440144	2.80722827121624
lol▄求职招聘	190	NULL	NULL	NULL	NULL	0.018046663	NULL	NULL
破解加密文件	190	124	30	11	10	0.076012639	0	0
求职招聘找工作	189	1127	100	1581	802	0.050886283	6.62065622086144	5.70241436995923
淘宝收藏	189	498	611	439	554	0.009616881	3.86789813857742	2.99005187228096
美好时光	189	22466	113	1851	2710	0.814999436	5.3917931857484	4.96844587443974
鹿鼎记	189	774	214	129	47	0.036963937	4.58770763008504	3.57712569527426
美颜	189	2132	180	496	450	0.107193	5.61804386155357	4.75223536643903
纳智捷车友会	189	261	11	47	14	0.153237456	3.79800699344299	3.63864859248909
小青年	189	14822	147	2569	1916	0.337912201	6.14367486916659	4.95723774970482
交谈	189	9991	208	1096	7561	0.857668766	6.12901656514496	6.09566121096272
皮具	189	3484	637	2674	2598	0.015220566	5.44547887647711	4.46200774753863
狼人	189	6667	276	1280	783	0.105368088	6.16858253998282	5.31426366179588
农村淘宝	189	1273	404	1306	1009	0.025856189	5.83067542647272	4.56536071473734
文具	189	3245	411	1271	1333	0.028032376	6.15533068265421	5.13724554122693
交互设计	189	397	487	153	264	0.0920197	4.27609712536182	3.61086833252523
会计学习	189	1273	455	1028	740	0.019141096	4.11861465041358	5.09389345896125
兼职群	189	558	87	48	3013	0.162187158	2.13345326293505	0
搭讪	189	1058	383	392	838	0.288081232	5.16713533366702	4.28331755479456
木门	189	2275	770	2077	2120	0.068561309	5.44010467815425	4.6965049666668
轮胎	188	4190	471	3505	3653	0.026170112	5.88514836315316	5.35139103402933
复旦	188	2485	219	638	575	0.07724649	5.48500815296515	4.32008943554562
版主	188	3386	373	796	886	0.255254573	5.53535333513473	5.76296712784022
目标	188	54298	184	2349	27130	0.328585712	6.45216917765823	5.61000691791269
螃蟹	188	3077	380	1355	1240	0.104592209	5.28685941414528	4.29380461821795
3ds	324	761	1339	626	748	0.383173894	5.1654679430057	4.3173335503523
赞助	188	5424	354	1283	3057	0.171450612	5.21640034430067	4.09492708154346
文艺范	188	621	170	88	61	0.164567484	4.322563625942	3.08465194568951
报关	188	6472	576	1747	1911	0.018900185	5.6683177480203	4.3662794314387
对戏	188	969	323	91	843	0.164567484	4.95476877198647	3.45393740733992
枪林弹雨	188	2715	329	849	523	0.108518794	5.0005085027123	4.19084730307636
拦截马	188	155	41	7	25	0.22624794	2.75166661693152	1.79175946922805
相爱	188	141343	224	2991	5834	0.2827685	5.92092441443402	4.14714157969762
女性健康	188	1404	179	341	449	0.113502537	4.18780502916006	3.85777088281477
红血丝	188	433	157	52	229	0.019108607	3.70220436438497	2.97115747758807
弹唱	188	697	574	172	413	0.064707284	4.98089094476946	3.85474710939929
日本留学	188	618	348	214	282	0.019917541	4.70776851125325	4.11334037828457
荷兰银行	188	47	NULL	NULL	1	0.012528056	NULL	NULL
亲子阅读	188	654	363	304	334	0.033004276	5.12387448334684	3.75298915372173
淘宝刷销量4	188	NULL	124	NULL	NULL	0.005861459	NULL	NULL
inspirational	189	4	586	NULL	NULL	0.383173894	NULL	NULL
d9俱乐部	188	190	1	3	NULL	0.752331637	1.38629436111989	0.693147180559945
blc	230	237	282	117	79	0.383173894	4.98162140112763	3.37281332561449
大学生活	187	7005	230	438	2163	0.311021854	4.46487431548853	3.36915347079807
自主创业	187	1740	240	346	789	0.058299193	4.42979332800032	4.72371460210993
星际争霸	187	959	596	290	247	0.038131119	5.31696476283334	4.33742327496975
玫瑰	187	67166	317	8725	40088	0.059970947	6.85147440218175	6.54175044338243
重庆大学	187	3945	393	1004	963	0.049658529	5.36901665315381	5.05349221143355
龙斗士	187	2652	206	181	127	0.164567484	4.73718261324339	3.5880427663375
地摊服装	187	244	895	859	520	0.028484133	4.35576680547662	4.03562721032992
玛瑙	187	933	571	715	1047	0.071068989	5.07968399650615	4.21694268626551
实物	187	3489	580	1326	3042	0.095261837	5.74249308975896	4.47785494322878
特岗教师	187	1226	891	1057	1710	0.169500669	4.93725956643281	4.45306961310178
刺青	187	2109	508	1264	726	0.050546861	5.89533520557221	4.24256796978676
纯属娱乐	187	9716	213	755	6845	0.239092856	5.61892686598126	4.71837718488863
校长	187	8596	202	2122	1726	0.335541216	6.32436194688914	5.32932587858031
李宇春	187	861	322	275	294	0.04503776	4.74692132205715	3.20899719485755
cpy	197	1041	570	1055	912	0.383173894	4.6338838045888	2.96336894932482
思埠	187	1386	162	321	369	0.164567484	4.9915807916346	4.03034811883125
生命在于运动	187	3336	232	309	2269	0.151618209	3.83540710699017	2.72835237009226
天上人间	187	10629	200	5578	762	0.19852488	6.25223529236333	5.67097764089124
淘宝爆款	187	472	218	177	143	0.292400488	4.81041605722732	4.50784682796677
摩根大通华侨银行	187	46	NULL	NULL	NULL	0.027257423	NULL	NULL
有钱	187	27328	198	1808	10669	0.314488389	5.8669944730944	5.34400781777765
财政局	187	1855	236	955	435	0.06080793	5.64789540805184	3.74055009925771
锐界	187	280	184	228	233	0.19757126	4.42382037469251	3.79361719296368
替课	187	1504	539	696	1257	0.675876746	5.36625978051626	4.41319416926991
砍价	187	5505	551	2483	5028	0.037478138	4.82822421227876	3.517516555191
山东一区	187	946	349	452	663	0.205656731	4.81115934762962	3.03236534396307
在线教育	187	714	291	105	557	0.086517722	4.70055708673481	3.8282354214464
孕检	187	142	530	321	351	0.381444966	3.7729840110849	2.65587718449534
金珉硕	187	60	313	6	35	0.065965806	2.97850842052724	1.38629436111989
土豆	187	12298	495	1950	2167	0.043249621	6.51296549223792	5.56000849154884
喜马拉雅	187	839	402	445	836	0.03453338	5.0900519259096	4.19755544912951
虚荣	186	1420	464	507	618	0.590804008	5.70895229354474	4.63695823731576
新西兰	186	1710	294	473	1066	0.024575921	5.36292045011827	4.40726454078628
海马	186	1740	211	600	699	0.039632888	5.60734612167195	5.08530896083876
北京汽车	186	540	110	350	234	0.015251986	4.85466867065877	4.48642960793298
中国梦	186	5062	303	1239	1326	0.05803451	5.78503436612893	5.65077230428907
变频器	186	939	776	1037	1822	0.052928404	5.1433589054084	3.99609387072753
餐饮票宿票	186	NULL	NULL	NULL	NULL	0.111454758	NULL	NULL
微博互粉	186	467	410	215	282	0.164567484	4.49758365712184	3.55788569275051
淘宝联盟	186	854	392	520	245	0.073150209	5.09873609427541	4.25902417092055
天王盖地虎	186	4796	296	611	1508	0.094447005	4.90104629189022	3.59892985927213
淮北	186	7608	439	4674	2693	0.064931916	6.81020673390571	6.67886301189742
验证码	186	2749	721	1105	2912	0.095950108	5.2843880622655	3.85098189749631
网上兼职赚钱	186	432	42	82	98	0.115765469	2.89326649993548	2.14006616349627
检测	186	14813	538	6983	7449	0.099620853	6.5249445235372	5.38897225921498
终极一班	186	7813	173	1096	302	0.672198814	5.5888654000827	4.37418978595738
空放	186	398	1016	353	588	0.164567484	4.77043818931039	4.11812187509214
exo-m	236	486	342	77	90	0.383173894	4.40961034678338	2.94732329594702
逍客	186	521	161	366	301	0.164567484	4.78271005758797	4.07953314399462
北京招聘	186	566	777	907	997	0.033103869	4.49454644906453	3.58363894140813
宝沃bx7	187	40	22	23	20	0.300666291	3.04196911890091	2.9143943095713
真人游戏	186	390	101	34	99	0.089858236	2.87606758203084	1.95836763216018
遵义	186	10336	462	5468	3141	0.030269182	6.92020849145799	6.64015747655367
旧友	186	4313	63	773	432	0.777261543	5.80396767540629	4.65683230783528
拼多多砍价	186	1374	679	1266	1019	0.075782416	4.11030501462057	3.32185022693404
struggle	196	2124	586	145	74	0.08995781	4.80488086491126	2.51504653207614
豪车	186	1694	454	722	855	0.164567484	5.58285464773566	5.19301720650623
深圳龙华布吉东门	186	NULL	250	NULL	NULL	0.048479643	NULL	NULL
银行卡3	186	14	10	NULL	NULL	0.283884795	NULL	NULL
淘宝兼职网络兼职	186	173	82	55	141	0.022439584	0.867563228481461	0
比亚迪唐	186	95	191	92	78	0.019421016	4.22681919134952	3.69596508447691
糗百	186	1097	334	335	247	0.164567484	5.54586615334565	4.90269043682088
解封店铺	186	12	22	2	7	0.12492854	1.6094379124341	0
校园代理	185	1228	238	161	460	0.095257735	4.76727569322545	4.28507418953974
胖子	185	12818	275	1479	1196	0.433863313	6.10165802746867	5.73638147225401
考研数学	185	370	660	294	232	0.01096437	4.38380116790674	3.64606783416146
路桥	185	5961	582	2708	1758	0.030208413	6.23399601510385	5.49499718906867
一起疯	185	25889	110	1561	2645	0.69125202	5.01669815693952	3.42756673298425
青年志愿者协会	185	2890	44	329	457	0.166551988	5.21454488484709	3.70499334230105
派派	185	3235	438	3556	1938	0.164567484	4.46356581989922	3.14550353068717
休闲生活	185	2585	363	733	891	0.730193175	5.3061654891846	5.19508578326639
0元购物	185	700	471	349	1044	0.135065675	4.59508565727849	3.78071182732266
五码	185	144	1	1	1	0.240189526	0	0
教练	185	11564	392	2237	4477	0.159845344	6.24500857830796	5.21214397601052
酒店服务	185	2127	67	87	256	0.222414243	4.35929776853944	3.8675385245969
复古合击	185	81	80	79	46	0.030669833	3.96089050715764	2.79976808852082
彩铅	185	330	659	267	312	0.164567484	4.67380939144291	3.49063356028477
snh48▄lse	185	NULL	1	NULL	NULL	0.635334039	NULL	NULL
交友▄吃货	185	NULL	1	NULL	NULL	0.323823366	NULL	NULL
武汉兼职	185	846	566	1318	562	0.02637127	4.19149770180182	3.71527917307518
助学	185	21960	393	2887	2075	0.060813619	5.76336271199055	3.80163970106424
定位胆	185	462	69	56	149	0.164567484	3.28314824144198	2.72479816074
无忧无虑	185	7181	125	365	1594	0.26734015	4.95412978499921	3.85965332947968
亲密	185	8871	41	367	1388	0.855232662	5.20849354757261	4.39556684338258
投资赚钱	185	601	285	271	256	0.013829156	4.10082427559402	3.52335572798185
宠文	185	286	675	327	619	0.164567484	4.81614929729525	2.69684181913502
本田车友会	185	409	36	119	43	0.058158022	4.52197297362556	4.32021167663248
微商群	185	1912	133	851	415	0.19457872	5.88707566941806	4.90223795313049
狐朋狗友	185	3480	66	323	183	0.46401648	4.70821211495329	3.09104245335831
上海市	185	12819	324	823	2858	0.056127274	6.34518471288906	5.99364534833805
东森平台	185	164	226	64	70	0.064341241	2.53410719615522	2.1242968359824
业余爱好	185	1684	362	271	940	0.390129689	4.53726155072223	4.4264004395457
手机号	185	6459	570	1133	5090	0.2532286	5.6101070837654	5.06458853216312
人力	185	12266	616	4539	2554	0.095993645	6.65720209264332	5.92078936924904
昂科雷	185	31	48	8	36	0.19757126	2.56659891811451	1.97300140639361
暴利项目	185	496	235	317	343	0.023988114	4.68408084913313	3.61577379177481
中国人	185	10711	260	1390	3315	0.263722954	5.24172713058732	4.52883938590764
psv	295	503	1049	376	485	0.383173894	4.63055661502908	3.8140199654549
环亚	185	596	36	170	165	0.092032103	5.13998904848222	4.31197646803924
谦友	185	1383	803	692	1857	0.164567484	5.34463504597081	3.79245550557512
六安	185	7585	419	4756	3047	0.025173065	6.72617942478715	6.66010387101063
灰色项目	185	265	237	197	361	0.079333322	4.24877584795864	3.26927511669431
儿童癫痫	185	21	37	11	6	0.028142959	1.84839248149319	1.38629436111989
奶块	185	5156	642	3932	1569	0.164567484	5.48672444407372	4.76462631123618
车友俱乐部	185	4418	431	3685	1773	0.319752829	7.32094989410229	6.23316597747415
人像摄影	185	556	627	553	556	0.012616429	5.25376016783627	4.85757567794025
衣食住行	185	783	169	134	781	0.217170009	5.01355358368609	4.20292448566225
补习	185	5178	204	510	517	0.184141847	5.68920725347912	4.67710155869439
妈妈交流群	185	2327	649	1897	1049	0.778886939	6.09446840430534	5.41304906148579
实名制	185	10803	323	1438	14577	0.061960145	6.0785127231521	5.93982274824462
pتcت蛋ت蛋	185	64	17	NULL	7	NULL	NULL	NULL
外星人	184	2603	371	484	617	0.390463845	5.73274948368993	4.78545655253184
邵阳	184	7869	495	4016	2798	0.043403717	6.38657728812532	6.2529101995969
新鲜水果	184	524	124	99	325	0.149562888	4.69555921130225	3.91860318435119
cc国际	189	542	67	162	105	0.070917731	4.59795469246979	3.45041970952355
购物秒杀	184	2323	410	1544	535	0.009844926	4.82544605735985	4.15474242835681
电脑配置	184	341	945	232	944	0.044948779	3.80510008711079	3.73863013036585
人类	184	18567	146	2227	9131	0.27631409	5.83355886497582	3.94839704172408
