tag	oldtag2count	oldexttag2count	newtag2cout	newtitleexttag2count	newdescexttag2count	classifer	entropy	entropyv2
天天爱消除	19229	35256	464	710	485	NULL	4.51399358951844	3.00150208319042
时尚	18951	62499	15560	21549	19243	NULL	6.51706369346579	4.49486971236507
行情	18679	8140	30720	1125	9419	NULL	6.35850295028121	5.7360956978552
小资	18647	4148	15167	624	573	NULL	5.76232238228234	5.32523365689305
二次元	18638	30188	59120	32356	44860	NULL	6.67313340287374	5.12912618003632
美容化妆	18285	853	5917	228	229	NULL	4.58906669096924	4.35450784317729
60后	18201	1589	14726	1120	1798	NULL	5.14885176871197	5.241632844624
重庆时时彩	18171	14438	4556	1066	3438	NULL	5.01570111311346	4.3475836134214
轻音乐	18149	394	8143	167	214	NULL	4.73506447374827	3.79087340711637
牛股	18127	20759	22016	5686	12868	NULL	6.29077255014004	5.64506093816944
真题	18112	2442	10096	538	5447	NULL	5.79378102900832	5.14482242848202
有问必答	17908	2003	26432	201	2423	NULL	5.07983971150495	4.75461189934123
美食	17807	89188	28012	14691	37216	NULL	7.28627468895829	6.47873013601103
英雄联盟	17134	199475	32193	21712	17546	NULL	6.60102803837395	5.67169058035583
女演员	17126	487	5429	20	913	NULL	3.61973930231315	2.34393298130802
新歌	16932	1226	7574	173	664	NULL	5.06875270899772	4.10312934946014
汽车	16720	66511	24333	20877	31750	NULL	7.34841370112883	6.60838382139154
公司培训	16583	422	819	51	56	NULL	3.75649847302488	2.857102837442
历史	16333	32889	13981	5789	14467	NULL	6.85906791700881	5.89831977555006
电脑网络	16157	506	5103	560	272	NULL	4.28658192255279	5.48146964165608
lol	23496	313386	43158	47936	30021	NULL	6.96174676292219	5.91741864043826
女歌手	16091	276	5888	22	502	NULL	3.75726181335727	2.84632385946773
数码产品	16090	1647	5561	524	1989	NULL	5.18977228698379	4.94006088681893
狂热之刃	16077	58	4964	7	9	NULL	2.97613880133843	1.6094379124341
期货	15741	17839	17717	8498	13957	NULL	6.49481628504472	5.81926437716439
视频	15617	128372	14178	22974	96233	NULL	7.16327371878214	6.3989470176104
种族	15236	1417	5033	221	955	NULL	5.62482787294935	4.21165341634879
语文	15232	43010	7808	9199	4968	NULL	6.44697492517486	5.44896198118862
手机通讯	15221	378	4432	260	154	NULL	4.6101699929005	4.63818781613276
夜生活	15125	19790	11839	8432	5118	NULL	6.46502282795924	5.8670372404095
帅哥	15046	107715	29700	15195	35469	NULL	6.45434006999109	5.28415242058664
男歌手	14995	207	7229	8	604	NULL	2.926417555498	2.07944154167984
自由行	14970	3390	10879	1466	1426	NULL	6.1382139480687	5.1792410587012
动画	14672	12358	9990	3055	5773	NULL	6.49403153161183	5.48637099581867
就业机会	14633	457	24980	6	907	NULL	2.36938211969468	1.09861228866811
公益活动	14610	1929	17900	263	2046	NULL	5.1530305869294	4.70409473882375
吃喝玩乐	14526	32836	17413	5926	9723	NULL	6.41814154176376	6.30497855792419
公益	14425	26697	15975	13684	21322	NULL	7.27174110185682	6.71321403239503
外汇	14422	12220	18777	6269	9399	NULL	6.32489671595576	5.4726604205924
qq炫舞手游	14372	34514	316	261	534	NULL	4.43353033757522	3.6844458048397
日韩	14279	3471	6032	600	872	NULL	5.88798157675853	5.16936934510655
户外	14214	37886	27717	39158	40411	NULL	7.16807279332124	6.66679350019995
移动互联网	14188	2350	15869	722	1828	NULL	5.23565799825114	4.80515389737174
行业标准	14139	346	23424	10	355	NULL	3.18147492392853	2.56494935746154
小视频	14104	16914	2560	4914	8316	NULL	5.65536506102187	4.79142528962302
自驾	14043	8741	18556	4603	9767	NULL	6.22393400893391	5.56429453590483
设计	13935	111184	25194	28846	56235	NULL	7.54648512854593	6.74556908139217
白领	13705	8016	12638	1222	2436	NULL	5.92776052880545	5.58132979004326
教师	13530	60603	5967	15858	22374	NULL	7.28732816540182	6.45566960250842
装修	13496	48722	24508	23266	57085	NULL	6.99129409599129	6.36863574054576
营销与广告	13428	32683	2420	196	286	NULL	4.14761602332279	3.87182810193134
建筑工程	13392	39829	7944	10483	10700	NULL	5.61193898037446	5.79535611060691
散户	13253	12858	15913	2605	8609	NULL	6.13183982542131	5.64015112926469
股票交流	13214	19960	18420	4500	8732	NULL	6.54351936817602	6.17201002725946
推理	13048	2831	8054	1404	2155	NULL	6.11686043101287	4.59024793011922
育儿	12878	13650	16856	5042	13147	NULL	6.41551754470908	4.78335384640957
dj	13122	18724	8947	5759	5142	NULL	6.81087446917582	5.5052700508528
金融	12852	66059	21413	21462	23887	NULL	7.1108035669679	6.41370690681731
点卡	12831	3109	4630	414	1295	NULL	5.65516967977294	4.50882665936321
自驾游	12745	12864	16765	5161	13797	NULL	6.55296835820089	5.95235121494802
男演员	12419	237	5158	10	545	NULL	2.88616517819943	2.16395565688206
代购	12413	22260	10812	6700	9409	NULL	7.0671574085116	6.34996746587422
游泳	11796	15682	9300	5588	12225	NULL	6.32222466470227	5.67713005581061
银行	11779	25781	8791	5115	10491	NULL	6.54028301330993	5.91651655839475
骑行	11623	18998	16027	9955	21633	NULL	6.87475214917559	6.20606725490333
激活码	11604	1545	4912	467	2110	NULL	5.4374109613565	4.2424907692232
自然风光	11581	187	8554	11	214	NULL	2.84648038613487	1.74786809746676
原油	11555	9989	19928	4510	9279	NULL	4.98921515291338	4.14905105492571
企鹅电竞	11522	33112	979	2201	3415	NULL	6.21619706220799	4.02116343216231
基金	11512	16180	10795	3261	7533	NULL	6.50603537855631	5.61825660534964
我的世界	11468	106254	22106	27745	26170	NULL	6.01504420117792	4.95512377074118
网赚	11409	22441	16701	10289	10598	NULL	6.72981952342473	6.09298983800574
白银	11298	16197	19104	4793	10181	NULL	6.23771859156604	5.2169299283938
新兴行业	11272	99	15930	8	95	NULL	2.39920429620262	1.6094379124341
逗比	11102	84422	8622	11299	10862	NULL	6.73613605546759	6.38208934788518
涨停板	10834	6910	14201	1695	6259	NULL	5.78521858651852	5.26265689237997
短线	10821	9878	12782	3052	6143	NULL	6.18558616491727	5.60318849834157
冲刺	10792	13100	4914	3847	2788	NULL	6.50572610377846	5.41133608655468
招聘	10705	64040	33322	38049	96798	NULL	7.19635229855755	6.62225476654334
解套	10694	6238	11681	1779	5677	NULL	5.38453854753486	5.24326162946488
相亲	10666	141390	26422	15247	21967	NULL	6.13152828742472	5.68917179789126
投资公司	10657	1446	7401	213	346	NULL	5.53284567552746	4.79778288321002
欧美	10635	7018	6214	2976	4369	NULL	6.83343718474412	6.22366317455983
美术	10631	32025	9191	6995	6344	NULL	6.91137563584179	5.96902889114532
团体旅游	10470	103	7947	NULL	111	NULL	NULL	NULL
赚钱	10346	70256	16503	13235	51537	NULL	6.94527588255166	6.15697203931024
唱歌	10226	54151	23740	11923	64326	NULL	5.98022382284113	6.11107943682445
华语	10131	875	5016	240	536	NULL	5.50557511510585	4.87188971321399
diy	10103	10680	8478	5960	8079	NULL	6.8643509319343	6.18415711435372
古典	9805	2868	5419	675	1518	NULL	6.13137247089248	5.01145370973345
时时彩计划	9775	3119	1452	324	636	NULL	5.02783317772554	4.43008619499624
服饰箱包	9702	46	6452	17	44	NULL	3.44551437400362	2.65258753472015
上海	9680	151990	9599	89548	62741	NULL	7.78385791388014	7.6506975025166
宫斗	9667	12558	11608	2954	4567	NULL	6.37338872710792	4.3814763354532
妹子	9654	50152	10915	4525	35449	NULL	6.88648610438698	6.00917091368176
天猫	9603	26975	19241	10786	24101	NULL	6.19768926731494	5.33338928091011
